Date,Hospital_Type,Daily_Status_Label,Simulated_Month,Agricultural_Season_Phase,Total_Patient_Volume,NEDOCS_Total_Score,ED_Total_Beds,Hospital_Total_Beds,Total_Patients_in_ED,Patients_Waiting_for_Admit_Bed,Longest_Admit_Wait_Time_Minutes,Admitted_Patients_Waiting_in_ED,ED_Respirators_in_Use,Average_Wait_Time_Mins,Bed_Occupancy_Rate_%,Active_Doctors_On_Shift,Active_Nurses_On_Shift,Dominant_Chief_Complaint,High_Acuity_ESI_1_2_%,Average_Patient_Age,Pediatric_Patient_%,Geriatric_Patient_%,Migrant_Laborer_Patient_%,Agricultural_Trauma_Patient_%,Toxicology_Animal_Bite_%,Air_Quality_Index_AQI,Weather_Condition,Avg_Temperature_C
1999-10-04,Big Rural (Delhi Outskirts),Slightly Busy,7,Off-Season / Sowing,245,68,15,100,99,53,186,39,2,62,84.6,16,40,Pesticide Exposure (Mild),12.7,40.0,34.4,36.8,5.7,3.7,13.5,208,Dry Cold,18.8
1999-10-04,Small Rural (Delhi Outskirts),Slightly Busy,8,Off-Season / Sowing,46,81,3,10,10,3,186,2,1,93,74.5,1,8,Minor Farm Trauma,4.9,59.0,15.9,35.1,7.5,2.4,14.4,343,Light Rain,16.5
1999-10-05,Big Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,102,37,15,100,35,2,5,1,3,5,32.4,14,36,Routine Antenatal / Minor Infection / General Checkup,5.7,48.9,24.2,36.7,38.0,23.5,2.0,100,Clear / Pleasant,26.7
1999-10-05,Small Rural (Delhi Outskirts),Not Busy,8,Off-Season / Sowing,33,27,3,10,11,2,69,1,1,23,43.5,1,7,Routine Antenatal / Minor Infection / General Checkup,1.3,48.2,26.8,30.9,8.5,4.8,14.0,84,Clear / Pleasant,31.9
1999-10-06,Big Rural (Delhi Outskirts),Slightly Busy,7,Off-Season / Sowing,188,51,15,100,72,23,79,15,1,79,72.1,12,46,Gastroenteritis,3.1,37.4,34.2,17.1,3.2,7.5,10.8,189,Light Rain,39.9
1999-10-06,Small Rural (Delhi Outskirts),Slightly Busy,6,Off-Season / Sowing,36,52,3,10,15,7,116,4,1,58,81.8,1,5,Minor Farm Trauma,2.7,50.7,29.9,39.2,7.3,2.1,1.2,310,Dry Cold,12.0
1999-10-07,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,100,21,15,100,47,1,62,0,2,31,66.9,15,30,Routine Antenatal / Minor Infection / General Checkup,9.2,48.0,15.8,30.0,5.9,3.2,16.1,82,Clear / Pleasant,25.7
1999-10-07,Small Rural (Delhi Outskirts),Extremely Busy,4,Active Harvest Season,89,103,3,10,34,19,1152,13,1,384,97.7,3,6,Severe Heatstroke / Thresher Accidents,4.4,48.9,19.7,32.1,25.6,19.2,4.1,254,Extreme Heatwave (Harvesting),44.4
1999-10-08,Big Rural (Delhi Outskirts),Extremely Busy,10,Active Harvest Season,406,126,15,100,146,77,466,48,6,466,95.8,13,42,Severe COPD / Asthma (Stubble Smoke),6.7,54.2,24.6,28.7,28.9,19.1,4.3,599,Heavy Smog / Post-Harvest Burning,16.5
1999-10-08,Small Rural (Delhi Outskirts),Slightly Busy,10,Active Harvest Season,41,98,3,10,16,9,178,5,0,89,76.5,3,5,Minor Farm Trauma,0.4,57.6,18.6,28.1,35.6,11.4,3.0,244,Dust Storm,16.5
1999-10-09,Big Rural (Delhi Outskirts),Not Busy,8,Off-Season / Sowing,130,26,15,100,58,1,99,0,3,33,41.9,15,34,Routine Antenatal / Minor Infection / General Checkup,11.9,43.7,23.7,38.3,3.5,6.5,17.4,105,Clear / Pleasant,27.2
1999-10-09,Small Rural (Delhi Outskirts),Slightly Busy,4,Active Harvest Season,44,92,3,10,21,8,196,5,0,98,87.6,3,8,Minor Farm Trauma,1.2,50.0,32.4,33.2,30.4,17.2,2.2,283,Dry Cold,31.3
1999-10-10,Big Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,91,22,15,100,45,1,63,0,4,21,39.6,15,41,Routine Antenatal / Minor Infection / General Checkup,13.5,59.5,23.9,29.8,3.0,3.4,4.5,53,Clear / Pleasant,31.5
1999-10-10,Small Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,27,21,3,10,13,2,35,1,1,35,42.0,2,7,Routine Antenatal / Minor Infection / General Checkup,3.1,59.2,29.1,36.2,23.4,15.3,3.4,107,Clear / Pleasant,31.2
1999-10-11,Big Rural (Delhi Outskirts),Extremely Busy,4,Active Harvest Season,302,185,15,100,144,63,209,43,3,209,96.6,10,27,Severe Heatstroke / Thresher Accidents,6.0,36.0,21.9,34.5,28.9,12.6,1.3,171,Extreme Heatwave (Harvesting),42.1
1999-10-11,Small Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,30,40,3,10,6,1,54,0,0,27,53.7,3,8,Routine Antenatal / Minor Infection / General Checkup,4.8,52.7,22.6,37.6,30.9,14.4,3.7,73,Clear / Pleasant,22.6
1999-10-12,Big Rural (Delhi Outskirts),Slightly Busy,4,Active Harvest Season,191,91,15,100,92,58,144,41,3,72,83.8,14,33,Viral Fever,8.4,56.1,16.3,38.0,15.2,16.4,2.0,159,Light Rain,22.5
1999-10-12,Small Rural (Delhi Outskirts),Not Busy,8,Off-Season / Sowing,25,14,3,10,9,2,29,1,1,29,47.2,3,7,Routine Antenatal / Minor Infection / General Checkup,3.0,38.5,27.7,19.2,4.0,3.3,15.2,132,Clear / Pleasant,24.6
1999-10-13,Big Rural (Delhi Outskirts),Slightly Busy,5,Active Harvest Season,157,66,15,100,43,16,106,11,1,106,89.9,14,40,Minor Farm Trauma,3.8,59.7,24.0,21.7,16.5,24.5,2.4,335,Light Rain,37.8
1999-10-13,Small Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,11,43,3,10,3,2,18,1,0,9,35.2,2,4,Routine Antenatal / Minor Infection / General Checkup,0.3,53.7,29.6,26.8,5.4,3.1,14.9,148,Clear / Pleasant,24.7
1999-10-14,Big Rural (Delhi Outskirts),Not Busy,1,Off-Season / Sowing,99,30,15,100,37,1,33,0,1,33,44.1,15,45,Routine Antenatal / Minor Infection / General Checkup,10.2,39.4,30.4,19.9,7.8,5.0,4.7,108,Clear / Pleasant,30.0
1999-10-14,Small Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,17,34,3,10,3,0,69,0,0,23,39.4,2,3,Routine Antenatal / Minor Infection / General Checkup,4.4,41.5,27.1,34.1,26.6,12.2,2.8,149,Clear / Pleasant,24.1
1999-10-15,Big Rural (Delhi Outskirts),Extremely Busy,11,Active Harvest Season,309,144,15,100,103,41,382,27,4,191,99.4,9,24,Severe COPD / Asthma (Stubble Smoke),10.4,51.2,26.4,23.6,37.7,11.9,1.0,756,Heavy Smog / Post-Harvest Burning,21.7
1999-10-15,Small Rural (Delhi Outskirts),Slightly Busy,9,Off-Season / Sowing,48,58,3,10,20,7,67,4,0,67,88.5,1,4,Minor Farm Trauma,0.7,56.5,21.0,15.2,9.5,6.0,18.5,310,Warm/Humid,14.3
1999-10-16,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,58,40,15,100,24,1,22,0,4,11,56.1,11,45,Routine Antenatal / Minor Infection / General Checkup,12.3,30.4,33.5,32.7,7.1,5.4,13.3,71,Clear / Pleasant,22.1
1999-10-16,Small Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,17,39,3,10,5,0,81,0,1,27,53.5,1,7,Routine Antenatal / Minor Infection / General Checkup,1.4,43.8,22.3,15.2,20.6,24.2,1.8,76,Clear / Pleasant,24.7
1999-10-17,Big Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,243,79,15,100,96,38,112,25,2,56,89.7,16,41,Gastroenteritis,11.2,45.0,23.1,26.4,4.4,5.4,4.4,279,Light Rain,18.8
1999-10-17,Small Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,17,35,3,10,7,2,105,1,1,35,48.2,2,7,Routine Antenatal / Minor Infection / General Checkup,3.4,37.9,28.2,38.8,15.5,22.9,3.7,126,Clear / Pleasant,26.1
1999-10-18,Big Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,109,17,15,100,27,1,22,0,1,22,62.8,13,25,Routine Antenatal / Minor Infection / General Checkup,8.1,38.7,17.1,16.4,24.8,15.5,4.6,53,Clear / Pleasant,24.2
1999-10-18,Small Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,24,12,3,10,10,1,18,0,1,9,33.8,1,3,Routine Antenatal / Minor Infection / General Checkup,3.3,39.7,19.5,37.1,23.0,21.2,1.1,92,Clear / Pleasant,26.2
1999-10-19,Big Rural (Delhi Outskirts),Slightly Busy,5,Active Harvest Season,160,82,15,100,33,15,74,12,1,74,70.8,15,31,Pesticide Exposure (Mild),10.1,37.7,34.7,32.5,23.5,19.7,2.6,252,Light Rain,23.1
1999-10-19,Small Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,44,51,3,10,9,4,53,3,0,53,88.3,2,3,Gastroenteritis,2.6,38.1,18.3,28.0,6.4,5.6,5.0,228,Light Rain,37.5
1999-10-20,Big Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,140,6,15,100,29,2,60,1,3,20,57.3,13,41,Routine Antenatal / Minor Infection / General Checkup,14.5,40.9,34.2,24.7,26.4,13.9,3.8,144,Clear / Pleasant,30.6
1999-10-20,Small Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,25,19,3,10,9,1,56,0,0,28,47.6,3,4,Routine Antenatal / Minor Infection / General Checkup,4.1,34.1,19.8,20.2,2.3,4.2,4.4,70,Clear / Pleasant,22.3
1999-10-21,Big Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,61,20,15,100,23,1,20,0,4,10,30.9,17,28,Routine Antenatal / Minor Infection / General Checkup,9.7,45.1,26.5,20.3,31.9,19.7,1.1,147,Clear / Pleasant,21.6
1999-10-21,Small Rural (Delhi Outskirts),Slightly Busy,3,Off-Season / Sowing,36,52,3,10,8,5,180,4,0,90,88.6,2,6,Viral Fever,4.1,37.1,33.0,24.3,9.0,7.4,4.5,304,Dust Storm,38.7
1999-10-22,Big Rural (Delhi Outskirts),Extremely Busy,10,Active Harvest Season,391,159,15,100,109,73,606,58,6,202,99.1,19,40,Severe COPD / Asthma (Stubble Smoke),3.8,53.9,20.7,29.6,28.8,11.5,2.4,795,Heavy Smog / Post-Harvest Burning,25.7
1999-10-22,Small Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,34,13,3,10,8,2,63,1,0,21,41.3,1,8,Routine Antenatal / Minor Infection / General Checkup,0.9,32.7,20.3,40.0,7.5,4.5,8.6,77,Clear / Pleasant,28.8
1999-10-23,Big Rural (Delhi Outskirts),Slightly Busy,4,Active Harvest Season,184,80,15,100,91,33,116,28,2,116,78.1,11,49,Gastroenteritis,8.9,53.4,34.4,15.1,21.4,21.4,2.1,262,Light Rain,36.7
1999-10-23,Small Rural (Delhi Outskirts),Not Busy,6,Off-Season / Sowing,32,32,3,10,7,0,18,0,1,6,65.5,2,3,Routine Antenatal / Minor Infection / General Checkup,0.5,47.9,23.7,28.3,7.5,6.0,2.2,57,Clear / Pleasant,30.2
1999-10-24,Big Rural (Delhi Outskirts),Not Busy,8,Off-Season / Sowing,97,6,15,100,28,2,22,1,2,22,47.3,11,27,Routine Antenatal / Minor Infection / General Checkup,12.2,58.3,28.3,28.1,5.7,6.7,18.2,109,Clear / Pleasant,30.5
1999-10-24,Small Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,23,30,3,10,6,0,105,0,1,35,66.5,1,8,Routine Antenatal / Minor Infection / General Checkup,0.2,58.9,15.1,26.9,32.5,20.9,4.7,78,Clear / Pleasant,25.1
1999-10-25,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,51,37,15,100,21,2,108,1,3,36,54.5,20,31,Routine Antenatal / Minor Infection / General Checkup,2.2,38.7,24.8,28.7,3.0,5.4,19.7,63,Clear / Pleasant,22.1
1999-10-25,Small Rural (Delhi Outskirts),Not Busy,1,Off-Season / Sowing,10,16,3,10,4,0,75,0,0,25,48.7,1,6,Routine Antenatal / Minor Infection / General Checkup,0.4,45.5,28.2,29.2,8.7,3.5,4.4,66,Clear / Pleasant,21.7
1999-10-26,Big Rural (Delhi Outskirts),Slightly Busy,7,Off-Season / Sowing,221,83,15,100,81,41,73,32,1,73,72.9,18,29,Viral Fever,7.0,30.8,24.6,37.8,9.0,4.9,18.4,278,Light Rain,26.6
1999-10-26,Small Rural (Delhi Outskirts),Slightly Busy,5,Active Harvest Season,36,51,3,10,11,6,116,4,1,58,85.0,1,8,Viral Fever,0.3,54.5,26.6,33.6,16.4,14.4,3.9,211,Light Rain,27.3
1999-10-27,Big Rural (Delhi Outskirts),Slightly Busy,6,Off-Season / Sowing,201,56,15,100,56,32,67,27,3,67,81.3,19,37,Pesticide Exposure (Mild),7.1,59.2,18.5,26.4,7.5,6.8,1.6,234,Dry Cold,12.5
1999-10-27,Small Rural (Delhi Outskirts),Slightly Busy,5,Active Harvest Season,57,94,3,10,16,8,170,5,1,85,75.8,2,7,Pesticide Exposure (Mild),2.9,42.5,34.5,19.3,17.4,11.3,2.0,285,Light Rain,23.0
1999-10-28,Big Rural (Delhi Outskirts),Slightly Busy,3,Off-Season / Sowing,218,64,15,100,84,49,72,46,3,72,78.9,10,27,Viral Fever,6.6,31.9,30.4,37.7,7.9,4.8,3.1,222,Warm/Humid,17.0
1999-10-28,Small Rural (Delhi Outskirts),Slightly Busy,11,Active Harvest Season,56,70,3,10,27,17,273,12,0,91,83.3,1,6,Viral Fever,4.1,51.0,21.9,37.8,32.7,16.5,1.0,271,Warm/Humid,17.6
1999-10-29,Big Rural (Delhi Outskirts),Not Busy,7,Off-Season / Sowing,137,35,15,100,48,0,24,0,1,8,33.6,18,34,Routine Antenatal / Minor Infection / General Checkup,9.0,56.9,22.7,38.8,9.5,4.0,8.8,136,Clear / Pleasant,25.4
1999-10-29,Small Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,13,6,3,10,6,2,20,1,0,10,30.6,2,7,Routine Antenatal / Minor Infection / General Checkup,1.0,34.3,18.5,30.5,26.6,12.6,1.6,69,Clear / Pleasant,23.2
1999-10-30,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,131,45,15,100,45,1,69,0,2,23,42.4,11,46,Routine Antenatal / Minor Infection / General Checkup,11.8,52.5,24.1,31.2,3.7,6.7,10.7,83,Clear / Pleasant,31.4
1999-10-30,Small Rural (Delhi Outskirts),Not Busy,6,Off-Season / Sowing,25,34,3,10,12,1,6,0,0,6,52.8,1,5,Routine Antenatal / Minor Infection / General Checkup,2.9,54.1,28.3,23.1,5.5,5.3,4.3,122,Clear / Pleasant,30.9
1999-10-31,Big Rural (Delhi Outskirts),Extremely Busy,11,Active Harvest Season,364,139,15,100,130,86,1401,69,3,467,96.7,14,35,Severe COPD / Asthma (Stubble Smoke),2.8,48.1,21.3,31.2,26.8,22.0,3.6,837,Heavy Smog / Post-Harvest Burning,15.0
1999-10-31,Small Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,17,33,3,10,7,0,111,0,1,37,60.0,1,5,Routine Antenatal / Minor Infection / General Checkup,1.0,54.3,29.2,20.0,3.6,7.9,9.1,140,Clear / Pleasant,29.5
1999-11-01,Big Rural (Delhi Outskirts),Slightly Busy,12,Off-Season / Sowing,158,52,15,100,51,24,115,16,4,115,77.8,14,36,Gastroenteritis,8.8,54.5,28.3,35.8,6.4,3.6,2.0,348,Dust Storm,16.0
1999-11-01,Small Rural (Delhi Outskirts),Extremely Busy,7,Off-Season / Sowing,87,186,3,10,37,22,1344,19,1,448,96.6,1,4,Snakebite / Waterborne (Cholera/Typhoid),3.1,55.4,32.7,35.4,6.9,5.7,15.2,57,Heavy Monsoon / Flooded Fields,30.3
1999-11-02,Big Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,108,3,15,100,44,2,29,1,2,29,55.6,19,32,Routine Antenatal / Minor Infection / General Checkup,12.3,38.8,29.3,35.8,37.2,18.2,2.3,135,Clear / Pleasant,30.0
1999-11-02,Small Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,20,49,3,10,7,1,44,0,1,22,47.1,1,5,Routine Antenatal / Minor Infection / General Checkup,0.9,34.7,24.0,21.1,16.4,24.9,4.5,52,Clear / Pleasant,27.2
1999-11-03,Big Rural (Delhi Outskirts),Slightly Busy,4,Active Harvest Season,176,80,15,100,79,46,240,32,3,120,77.2,20,31,Pesticide Exposure (Mild),8.8,49.9,22.1,22.6,19.8,10.9,2.6,264,Light Rain,39.5
1999-11-03,Small Rural (Delhi Outskirts),Slightly Busy,9,Off-Season / Sowing,47,90,3,10,11,4,59,2,1,59,83.1,1,5,Minor Farm Trauma,2.0,34.2,31.2,34.5,9.5,6.5,9.8,306,Light Rain,14.9
1999-11-04,Big Rural (Delhi Outskirts),Slightly Busy,7,Off-Season / Sowing,208,97,15,100,98,52,208,45,1,104,73.2,17,40,Minor Farm Trauma,5.7,52.0,18.3,39.3,10.0,5.9,10.4,257,Dry Cold,23.8
1999-11-04,Small Rural (Delhi Outskirts),Not Busy,5,Active Harvest Season,13,50,3,10,4,1,34,0,0,17,44.9,1,8,Routine Antenatal / Minor Infection / General Checkup,0.1,34.4,15.2,32.7,23.8,23.4,3.9,53,Clear / Pleasant,25.5
1999-11-05,Big Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,110,37,15,100,25,2,68,1,2,34,53.1,20,43,Routine Antenatal / Minor Infection / General Checkup,5.7,55.1,28.2,28.3,5.3,7.5,2.0,86,Clear / Pleasant,25.1
1999-11-05,Small Rural (Delhi Outskirts),Slightly Busy,1,Off-Season / Sowing,52,99,3,10,19,7,291,6,0,97,75.1,1,4,Gastroenteritis,0.9,53.5,26.3,30.9,6.9,2.5,4.1,164,Warm/Humid,18.3
1999-11-06,Big Rural (Delhi Outskirts),Not Busy,6,Off-Season / Sowing,57,8,15,100,27,2,69,1,3,23,51.8,12,26,Routine Antenatal / Minor Infection / General Checkup,3.1,31.2,25.0,28.3,7.7,7.0,2.3,59,Clear / Pleasant,20.8
1999-11-06,Small Rural (Delhi Outskirts),Extremely Busy,4,Active Harvest Season,83,194,3,10,20,15,603,14,0,201,97.7,1,4,Severe Heatstroke / Thresher Accidents,4.7,40.4,15.2,30.0,32.0,12.5,5.0,272,Extreme Heatwave (Harvesting),46.4
1999-11-07,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,149,45,15,100,38,1,39,0,3,39,56.6,17,37,Routine Antenatal / Minor Infection / General Checkup,8.4,47.7,28.4,36.0,4.4,2.9,14.3,79,Clear / Pleasant,23.5
1999-11-07,Small Rural (Delhi Outskirts),Slightly Busy,3,Off-Season / Sowing,46,58,3,10,13,4,315,2,0,105,76.4,1,4,Minor Farm Trauma,3.3,46.4,24.9,23.5,7.6,5.0,4.0,332,Light Rain,17.9
1999-11-08,Big Rural (Delhi Outskirts),Not Busy,9,Off-Season / Sowing,93,50,15,100,19,0,32,0,1,32,43.6,13,48,Routine Antenatal / Minor Infection / General Checkup,14.5,30.1,25.2,23.3,9.6,6.1,17.6,50,Clear / Pleasant,22.4
1999-11-08,Small Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,12,30,3,10,2,1,46,0,1,23,49.4,1,6,Routine Antenatal / Minor Infection / General Checkup,0.6,34.2,16.6,33.4,15.9,13.0,2.6,113,Clear / Pleasant,22.3
1999-11-09,Big Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,146,7,15,100,71,0,48,0,3,16,64.0,13,33,Routine Antenatal / Minor Infection / General Checkup,14.3,59.5,26.1,26.6,29.2,18.5,3.0,136,Clear / Pleasant,31.3
1999-11-09,Small Rural (Delhi Outskirts),Not Busy,1,Off-Season / Sowing,20,40,3,10,8,1,62,0,1,31,62.3,2,6,Routine Antenatal / Minor Infection / General Checkup,2.8,39.0,30.5,30.2,4.0,5.3,3.9,108,Clear / Pleasant,23.1
1999-11-10,Big Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,53,31,15,100,18,0,16,0,2,16,43.3,10,31,Routine Antenatal / Minor Infection / General Checkup,14.3,41.2,20.1,19.5,36.7,24.2,1.5,149,Clear / Pleasant,30.1
1999-11-10,Small Rural (Delhi Outskirts),Slightly Busy,6,Off-Season / Sowing,36,86,3,10,17,5,238,3,1,119,77.5,3,6,Minor Farm Trauma,2.5,32.1,19.5,31.6,4.5,6.7,1.5,263,Dust Storm,32.1
1999-11-11,Big Rural (Delhi Outskirts),Not Busy,8,Off-Season / Sowing,134,50,15,100,33,1,23,0,1,23,68.7,18,33,Routine Antenatal / Minor Infection / General Checkup,7.9,36.7,16.3,29.3,5.5,7.2,13.4,116,Clear / Pleasant,25.4
1999-11-11,Small Rural (Delhi Outskirts),Slightly Busy,1,Off-Season / Sowing,49,73,3,10,13,7,238,6,0,119,91.8,2,4,Pesticide Exposure (Mild),0.8,57.4,25.0,28.3,8.6,6.8,2.1,319,Dust Storm,24.4
1999-11-12,Big Rural (Delhi Outskirts),Not Busy,3,Off-Season / Sowing,133,27,15,100,49,0,20,0,2,10,30.5,12,37,Routine Antenatal / Minor Infection / General Checkup,7.9,48.0,29.7,16.6,8.8,5.9,1.9,55,Clear / Pleasant,22.8
1999-11-12,Small Rural (Delhi Outskirts),Slightly Busy,12,Off-Season / Sowing,58,81,3,10,12,6,249,5,0,83,91.8,2,7,Gastroenteritis,0.8,38.4,27.1,24.8,7.1,2.0,3.1,167,Warm/Humid,23.2
1999-11-13,Big Rural (Delhi Outskirts),Slightly Busy,1,Off-Season / Sowing,237,83,15,100,73,25,102,24,2,102,74.8,18,30,Viral Fever,13.3,51.6,33.5,29.9,2.7,7.7,4.8,220,Warm/Humid,36.2
1999-11-13,Small Rural (Delhi Outskirts),Slightly Busy,8,Off-Season / Sowing,37,81,3,10,8,4,51,2,1,51,79.2,3,3,Pesticide Exposure (Mild),0.2,52.8,24.7,26.8,2.4,2.1,8.6,228,Light Rain,23.4
1999-11-14,Big Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,131,20,15,100,34,0,50,0,1,25,43.0,17,47,Routine Antenatal / Minor Infection / General Checkup,7.1,32.0,32.4,32.1,7.6,5.9,3.8,150,Clear / Pleasant,27.6
1999-11-14,Small Rural (Delhi Outskirts),Not Busy,2,Off-Season / Sowing,22,1,3,10,8,1,17,0,1,17,42.0,2,8,Routine Antenatal / Minor Infection / General Checkup,1.4,50.4,16.8,39.3,2.8,4.5,3.8,58,Clear / Pleasant,27.1
1999-11-15,Big Rural (Delhi Outskirts),Slightly Busy,7,Off-Season / Sowing,237,99,15,100,60,19,220,18,1,110,76.7,20,41,Minor Farm Trauma,13.9,53.2,29.3,34.8,7.2,7.9,11.3,297,Light Rain,30.0
1999-11-15,Small Rural (Delhi Outskirts),Not Busy,10,Active Harvest Season,17,39,3,10,7,0,105,0,1,35,53.5,2,7,Routine Antenatal / Minor Infection / General Checkup,3.5,53.6,15.5,22.8,34.5,17.0,3.3,135,Clear / Pleasant,29.0
1999-11-16,Big Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,142,0,15,100,57,1,105,0,2,35,50.8,10,35,Routine Antenatal / Minor Infection / General Checkup,14.2,45.3,18.1,15.4,8.6,4.5,3.4,96,Clear / Pleasant,28.2
1999-11-16,Small Rural (Delhi Outskirts),Not Busy,3,Off-Season / Sowing,32,14,3,10,7,2,25,1,0,25,31.1,1,7,Routine Antenatal / Minor Infection / General Checkup,0.6,41.8,34.0,36.2,2.5,6.0,4.6,52,Clear / Pleasant,20.3
1999-11-17,Big Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,91,37,15,100,40,0,8,0,2,8,62.6,13,40,Routine Antenatal / Minor Infection / General Checkup,14.3,57.5,28.0,24.1,17.7,11.4,3.2,126,Clear / Pleasant,23.1
1999-11-17,Small Rural (Delhi Outskirts),Not Busy,8,Off-Season / Sowing,23,19,3,10,11,2,56,1,0,28,62.8,1,5,Routine Antenatal / Minor Infection / General Checkup,1.0,31.0,24.3,27.6,6.8,3.8,13.4,68,Clear / Pleasant,24.5
1999-11-18,Big Rural (Delhi Outskirts),Extremely Busy,7,Off-Season / Sowing,325,123,15,100,73,31,1017,30,4,339,99.5,14,39,Snakebite / Waterborne (Cholera/Typhoid),11.3,44.7,23.7,33.0,7.7,3.8,16.7,115,Heavy Monsoon / Flooded Fields,31.7
1999-11-18,Small Rural (Delhi Outskirts),Not Busy,6,Off-Season / Sowing,32,3,3,10,9,0,40,0,0,20,45.6,3,6,Routine Antenatal / Minor Infection / General Checkup,3.1,30.6,34.6,19.1,4.3,4.4,4.7,63,Clear / Pleasant,28.4
1999-11-19,Big Rural (Delhi Outskirts),Slightly Busy,5,Active Harvest Season,209,60,15,100,64,33,89,31,2,89,83.2,17,46,Minor Farm Trauma,11.6,30.0,15.8,30.0,22.3,21.9,3.0,325,Dust Storm,35.5
1999-11-19,Small Rural (Delhi Outskirts),Extremely Busy,10,Active Harvest Season,65,157,3,10,16,11,359,10,1,359,95.0,1,3,Severe COPD / Asthma (Stubble Smoke),0.3,47.7,24.1,21.2,35.4,18.0,4.8,527,Heavy Smog / Post-Harvest Burning,25.0
1999-11-20,Big Rural (Delhi Outskirts),Not Busy,1,Off-Season / Sowing,101,32,15,100,37,1,51,0,4,17,67.6,11,46,Routine Antenatal / Minor Infection / General Checkup,12.4,39.3,19.2,20.6,2.2,3.2,3.0,123,Clear / Pleasant,24.2
1999-11-20,Small Rural (Delhi Outskirts),Not Busy,6,Off-Season / Sowing,33,21,3,10,7,1,22,0,1,11,34.9,2,7,Routine Antenatal / Minor Infection / General Checkup,1.1,46.3,17.8,22.4,2.4,4.1,3.2,138,Clear / Pleasant,27.1
1999-11-21,Big Rural (Delhi Outskirts),Not Busy,4,Active Harvest Season,94,28,15,100,44,0,30,0,2,10,59.8,13,28,Routine Antenatal / Minor Infection / General Checkup,8.4,49.8,30.1,18.8,32.3,12.7,2.6,60,Clear / Pleasant,29.5
1999-11-21,Small Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,50,57,3,10,22,11,195,10,0,65,85.9,2,5,Gastroenteritis,4.1,34.1,34.9,23.0,4.8,3.5,2.6,212,Warm/Humid,18.3
1999-11-22,Big Rural (Delhi Outskirts),Not Busy,6,Off-Season / Sowing,108,32,15,100,51,1,70,0,1,35,57.8,11,34,Routine Antenatal / Minor Infection / General Checkup,6.2,35.5,34.2,36.5,2.5,7.0,4.8,59,Clear / Pleasant,26.2
1999-11-22,Small Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,18,28,3,10,6,1,15,0,0,5,36.2,3,8,Routine Antenatal / Minor Infection / General Checkup,2.4,49.5,29.0,32.5,33.1,20.1,1.8,89,Clear / Pleasant,21.1
1999-11-23,Big Rural (Delhi Outskirts),Slightly Busy,2,Off-Season / Sowing,226,85,15,100,47,25,238,15,4,119,83.1,15,50,Minor Farm Trauma,12.5,34.0,33.5,38.1,9.2,5.4,3.2,349,Warm/Humid,25.3
1999-11-23,Small Rural (Delhi Outskirts),Not Busy,11,Active Harvest Season,33,4,3,10,7,0,36,0,0,18,42.4,2,8,Routine Antenatal / Minor Infection / General Checkup,0.9,47.6,27.3,35.3,19.7,20.1,2.0,138,Clear / Pleasant,25.8
1999-11-24,Big Rural (Delhi Outskirts),Not Busy,12,Off-Season / Sowing,72,8,15,100,32,2,34,1,4,34,36.0,14,28,Routine Antenatal / Minor Infection / General Checkup,2.7,50.9,33.6,21.5,3.8,4.3,4.8,141,Clear / Pleasant,28.1
