ed_pts,ed_beds,admits,hosp_beds,vents,longest_wait,last_wait,nedocs_score,ambient_noise_db,arrival_velocity,equipment_chaos_index,target
37,40,0,350,0,1.15,0.79,197.8,62.9,0.22,2.0,118.4
25,40,6,350,2,2.85,0.36,250.0,70.1,2.03,0.4,152.6
27,40,6,350,1,1.57,0.97,108.1,58.7,0.36,0.9,63.0
40,40,1,350,1,0.99,0.84,120.8,66.3,0.13,0.9,159.9
26,40,1,350,0,0.53,1.11,54.4,57.1,0.49,2.1,111.9
43,40,3,350,2,2.24,0.63,154.8,66.4,0.31,0.8,103.2
24,40,2,350,2,1.33,0.71,97.2,63.1,0.23,0.4,101.9
34,40,6,350,0,2.22,0.57,95.8,68.4,0.37,2.9,155.4
36,40,1,350,0,3.27,0.3,97.0,58.2,0.11,2.5,129.6
43,40,3,350,1,2.8,0.4,139.7,68.7,0.13,1.4,128.4
42,40,4,350,1,2.12,1.46,119.2,73.9,0.15,1.6,126.4
23,40,6,350,2,1.57,0.43,121.6,68.6,0.36,0.3,130.2
38,40,1,350,0,1.02,0.34,118.6,67.0,0.13,2.1,163.3
35,40,2,350,1,2.32,0.51,123.7,69.1,0.32,1.4,124.7
45,40,2,350,2,2.67,0.92,154.0,83.0,0.39,2.9,238.4
27,40,6,350,2,0.89,1.1,115.0,62.6,0.24,1.8,131.3
39,40,3,350,1,2.8,0.94,222.4,61.4,0.21,1.9,106.8
36,40,5,350,1,2.34,0.76,121.4,71.4,0.36,8.5,155.2
37,40,2,350,1,1.35,0.71,97.0,69.4,0.13,2.0,195.5
40,40,2,350,0,0.94,0.82,120.0,65.6,0.4,2.0,78.2
27,40,2,350,2,2.17,1.17,186.6,53.5,0.22,0.6,138.9
23,40,3,350,0,0.89,1.04,65.2,55.1,0.19,8.8,150.4
44,40,0,350,1,0.92,0.83,133.5,70.5,0.11,8.7,142.1
39,40,5,350,1,1.41,1.13,116.7,65.3,0.26,2.4,209.3
30,40,0,350,2,2.23,0.73,110.0,63.9,0.2,0.7,141.8
23,40,3,350,0,1.35,1.47,197.0,61.9,0.42,0.9,98.6
44,40,5,350,1,3.41,0.57,136.3,72.4,0.21,0.8,153.8
27,40,5,350,1,2.69,0.54,89.1,62.2,0.39,2.2,105.0
38,40,4,350,2,2.56,0.55,147.8,76.7,0.37,2.6,139.2
23,40,3,350,2,1.37,0.33,91.4,62.5,0.38,1.9,148.0
28,40,4,350,2,2.27,1.42,124.6,69.0,0.2,8.1,125.6
37,40,5,350,2,0.82,1.2,135.6,67.1,0.26,2.8,137.1
23,40,6,350,1,0.7,0.34,94.3,50.0,0.34,0.7,234.6
38,40,2,350,0,0.87,1.12,123.4,72.1,0.24,1.2,88.9
34,40,4,350,1,0.6,1.01,227.0,64.9,0.39,1.2,183.0
33,40,1,350,1,2.89,0.67,81.1,59.9,0.45,0.7,102.2
44,40,3,350,2,3.2,0.97,173.0,74.8,0.26,1.1,106.6
22,40,6,350,2,1.0,0.35,93.0,62.3,0.17,1.3,125.5
31,40,0,350,1,2.5,0.63,98.8,66.4,0.38,0.0,195.5
43,40,0,350,1,0.73,1.28,118.4,73.8,0.22,2.4,95.1
38,40,5,350,0,1.94,0.64,189.8,73.3,0.11,7.3,129.2
28,40,0,350,0,0.94,0.94,83.4,53.4,0.49,0.4,84.4
28,40,5,350,0,2.39,1.47,102.0,66.2,0.28,2.9,100.4
25,40,1,350,2,2.75,0.87,75.6,67.6,0.23,2.1,131.6
23,40,6,350,2,0.54,0.29,86.0,64.5,0.18,0.4,139.4
39,40,2,350,1,2.31,0.49,120.8,74.0,0.21,1.6,136.8
39,40,1,350,1,0.72,0.76,135.3,65.5,0.14,0.8,99.5
33,40,4,350,2,2.76,0.37,128.1,73.3,0.38,1.0,113.8
32,40,0,350,2,2.45,1.4,94.6,71.2,0.3,0.7,133.0
20,40,6,350,2,2.09,0.81,104.6,62.7,0.48,2.4,103.3
33,40,5,350,1,1.68,0.83,126.1,61.5,0.31,1.0,115.8
29,40,0,350,2,1.89,0.93,87.7,64.5,0.36,2.1,125.2
34,40,6,350,1,1.61,0.72,107.7,70.9,0.19,1.7,135.8
37,40,6,350,1,1.28,0.84,112.4,68.3,0.41,0.4,142.9
37,40,0,350,1,1.51,0.28,127.0,61.3,0.11,1.0,99.0
28,40,4,350,2,2.25,0.66,135.3,63.0,0.31,2.7,115.2
24,40,2,350,2,1.93,0.85,93.8,63.9,0.3,1.2,109.9
41,40,1,350,0,1.07,1.15,101.1,70.3,0.12,1.5,154.0
32,40,3,350,1,1.77,0.85,101.2,57.2,0.5,2.0,116.6
40,40,2,350,2,2.5,0.39,147.0,73.7,0.23,2.9,196.0
28,40,4,350,1,3.05,1.38,102.1,53.7,0.33,1.9,151.5
22,40,6,350,0,1.96,0.8,182.4,59.8,0.4,1.2,81.4
38,40,6,350,2,1.93,0.89,139.9,70.9,0.33,2.1,109.3
32,40,1,350,0,3.27,1.3,71.2,62.7,0.41,1.9,93.0
30,40,4,350,0,3.1,1.28,97.0,67.3,0.18,2.1,108.2
22,40,2,350,1,3.4,0.81,80.2,62.4,2.84,1.5,140.0
37,40,4,350,0,2.1,0.64,98.2,68.4,0.16,1.1,197.0
30,40,0,350,1,2.47,1.34,92.2,63.2,0.18,0.2,82.8
41,40,4,350,1,2.1,1.4,190.8,65.4,0.4,2.8,134.3
23,40,1,350,0,3.36,0.78,79.4,62.0,0.12,0.9,158.6
45,40,3,350,0,1.42,1.08,118.5,82.3,1.07,2.4,127.2
45,40,6,350,2,3.16,1.09,153.6,79.1,0.11,0.8,128.4
22,40,4,350,1,2.85,1.08,102.7,71.0,0.47,1.9,115.3
36,40,1,350,2,2.62,1.44,123.9,65.5,0.27,0.4,85.6
33,40,1,350,0,2.58,1.0,101.6,65.8,0.24,1.5,141.8
22,40,5,350,2,1.66,0.35,80.2,61.7,0.23,2.7,183.2
39,40,4,350,1,1.94,1.36,133.0,73.6,0.16,1.1,250.0
34,40,2,350,1,2.74,0.52,170.3,61.6,0.32,0.4,90.2
35,40,5,350,0,1.11,0.31,250.0,66.8,0.32,1.1,82.9
32,40,0,350,0,2.75,0.5,84.0,59.4,0.37,8.7,120.3
21,40,1,350,0,1.29,1.41,74.3,52.2,0.15,2.1,248.8
20,40,5,350,1,1.16,1.27,84.3,61.0,0.4,0.0,73.8
43,40,4,350,2,1.49,1.31,239.2,66.7,0.47,0.0,107.8
32,40,1,350,0,0.94,1.4,67.8,70.7,0.43,9.6,250.0
28,40,1,350,1,1.23,0.86,100.8,64.1,0.18,0.1,119.4
43,40,0,350,2,3.3,1.25,226.4,75.8,0.25,2.9,119.7
27,40,4,350,2,3.04,1.11,116.4,75.2,0.12,7.4,113.9
40,40,4,350,0,1.34,0.5,105.8,67.5,1.95,1.6,175.5
24,40,2,350,2,0.56,1.0,86.2,61.8,0.27,9.4,111.6
41,40,6,350,2,3.0,1.41,140.7,78.3,0.47,8.6,114.7
21,40,3,350,1,1.2,1.32,74.6,63.4,0.48,0.9,154.4
34,40,2,350,0,1.75,0.34,77.6,65.7,0.38,2.5,132.6
41,40,5,350,2,2.61,0.85,144.1,72.6,1.34,1.3,133.4
33,40,5,350,0,2.95,0.7,118.2,56.0,0.24,2.2,134.8
29,40,3,350,0,3.06,1.39,108.7,61.9,0.34,2.2,165.3
32,40,5,350,2,3.09,0.59,123.5,68.5,0.31,0.7,122.6
28,40,2,350,0,0.93,0.5,152.5,52.8,0.28,0.6,204.2
23,40,3,350,2,2.12,0.7,115.5,57.9,0.17,0.3,129.8
22,40,5,350,2,2.78,0.66,197.9,57.6,0.35,1.4,106.8
45,40,2,350,0,1.16,0.83,126.2,62.6,0.17,2.1,191.7
37,40,6,350,1,1.79,0.77,96.6,60.7,0.45,2.4,130.2
32,40,1,350,0,1.28,0.96,181.8,75.0,1.68,2.8,170.7
42,40,5,350,1,1.49,0.79,115.0,72.8,0.2,2.5,119.6
38,40,1,350,1,3.19,1.28,135.7,69.3,0.22,7.3,180.5
26,40,6,350,2,2.23,0.82,107.8,57.6,1.44,2.8,209.7
20,40,0,350,1,2.34,0.69,151.6,68.3,0.24,7.3,127.0
38,40,2,350,1,0.87,0.4,178.3,69.5,0.48,0.3,88.6
29,40,5,350,0,1.99,0.62,97.8,61.5,0.19,2.8,230.4
24,40,5,350,1,2.74,0.5,80.4,62.4,0.17,0.9,107.5
39,40,0,350,1,0.63,0.37,217.7,72.5,0.17,1.2,115.0
20,40,3,350,1,2.9,0.76,101.8,61.3,0.45,2.0,167.2
24,40,6,350,2,3.23,1.02,108.2,70.1,0.29,2.8,79.4
44,40,0,350,2,0.66,1.43,153.4,70.4,0.43,2.3,142.3
21,40,2,350,0,1.29,0.61,65.2,58.3,0.26,2.2,166.0
41,40,1,350,0,2.99,0.94,127.8,70.3,0.21,1.6,152.6
45,40,3,350,2,1.76,0.4,154.4,75.8,0.13,0.6,89.8
38,40,1,350,2,1.92,0.38,143.8,75.1,2.62,2.1,146.0
29,40,0,350,2,3.47,0.8,85.7,61.1,0.44,2.9,128.4
29,40,0,350,2,2.95,1.01,99.3,65.6,0.16,3.0,122.8
39,40,0,350,2,2.13,0.32,111.6,76.8,0.15,1.2,93.0
21,40,5,350,1,1.58,0.79,109.9,64.4,0.32,1.2,122.8
37,40,1,350,0,1.45,0.41,86.6,66.9,0.38,0.7,219.2
33,40,4,350,0,0.81,0.95,113.8,62.0,0.3,1.6,145.2
42,40,6,350,0,3.22,0.66,211.0,60.0,0.48,0.5,141.0
44,40,6,350,1,0.68,1.08,135.1,64.7,0.25,2.7,119.2
28,40,0,350,0,1.43,1.09,132.1,65.0,1.53,2.9,118.2
30,40,3,350,1,2.29,0.4,106.0,63.7,0.42,0.9,90.6
36,40,0,350,1,2.2,1.03,85.1,66.9,0.45,0.5,87.5
28,40,1,350,1,1.47,0.27,81.2,60.4,0.5,1.0,117.8
35,40,1,350,0,2.38,0.77,79.0,65.3,0.44,9.0,140.1
32,40,3,350,2,1.44,0.27,106.8,62.3,0.37,1.3,148.6
29,40,6,350,1,2.27,0.87,102.0,60.8,1.46,0.9,150.8
36,40,4,350,2,0.74,1.46,138.5,77.7,0.3,10.0,250.0
27,40,0,350,2,1.89,1.35,125.7,62.8,0.2,2.8,121.4
45,40,5,350,1,1.83,0.51,239.3,69.2,2.35,1.2,129.8
42,40,3,350,0,1.74,1.11,108.6,71.4,1.01,2.1,148.0
23,40,1,350,2,1.25,0.55,90.3,62.4,0.19,2.1,134.8
26,40,3,350,2,1.26,1.0,125.5,67.0,0.19,1.4,138.8
33,40,4,350,2,1.26,0.26,124.6,66.5,0.12,2.6,141.2
42,40,5,350,1,3.05,0.3,131.1,71.0,0.2,1.7,144.8
36,40,3,350,1,1.7,0.78,130.3,67.1,0.31,2.4,119.6
37,40,5,350,1,2.03,1.39,135.8,62.6,0.16,2.3,97.6
39,40,6,350,0,0.51,0.28,106.6,67.0,0.46,1.3,117.2
34,40,0,350,0,0.68,1.42,87.1,65.8,0.23,2.3,90.5
44,40,1,350,1,1.07,0.47,105.7,71.3,0.13,1.7,116.0
23,40,6,350,1,1.48,0.53,79.0,64.4,0.35,2.6,131.8
22,40,3,350,2,2.93,0.97,108.1,53.0,0.26,7.8,250.0
39,40,2,350,1,1.06,0.33,117.5,61.3,1.56,1.6,250.0
43,40,2,350,1,1.05,1.18,250.0,74.1,0.24,2.9,161.8
30,40,3,350,2,1.98,1.28,224.2,65.6,2.7,1.5,122.6
36,40,2,350,2,2.14,1.34,148.0,66.2,0.15,1.2,249.0
21,40,6,350,1,1.94,0.35,76.8,63.1,0.41,2.2,132.6
44,40,6,350,0,1.61,1.13,242.5,74.9,0.48,1.2,121.0
33,40,2,350,0,1.04,1.47,118.7,68.2,0.35,0.5,107.6
29,40,3,350,1,3.17,0.85,109.6,55.6,0.17,0.4,228.6
30,40,3,350,2,2.89,0.38,100.6,66.5,0.47,1.2,93.4
41,40,6,350,2,3.01,0.54,224.6,76.0,0.25,2.7,88.4
20,40,0,350,1,2.81,0.98,82.2,53.0,0.34,1.3,149.5
24,40,5,350,1,3.33,1.18,75.2,63.7,0.48,0.7,120.6
41,40,3,350,2,2.9,0.49,139.8,62.9,0.1,0.8,99.2
32,40,5,350,0,0.68,0.86,111.0,59.7,2.8,9.7,246.2
29,40,5,350,0,3.42,0.46,94.9,64.0,0.25,3.0,134.6
21,40,1,350,1,0.87,0.95,170.2,63.6,1.67,0.8,122.8
40,40,2,350,0,1.49,1.38,120.4,65.3,0.38,9.4,192.7
23,40,1,350,0,1.45,1.36,95.0,55.7,0.41,2.2,70.6
43,40,6,350,1,1.01,0.89,154.1,72.4,0.1,2.6,146.9
23,40,0,350,1,0.68,0.35,56.7,60.1,0.29,0.7,115.5
38,40,6,350,1,3.39,0.36,136.3,71.6,0.36,2.8,183.5
37,40,0,350,0,2.51,0.62,108.7,61.3,0.48,2.4,101.1
35,40,0,350,2,2.4,0.51,168.3,75.0,0.4,1.5,105.4
20,40,5,350,1,1.08,1.18,85.5,65.9,0.3,1.5,121.6
20,40,3,350,2,0.98,0.47,94.1,58.5,0.16,8.7,172.6
33,40,5,350,1,1.84,1.16,111.9,70.8,0.23,2.3,150.1
42,40,5,350,1,3.28,0.47,139.8,70.7,0.35,1.0,103.6
43,40,1,350,0,1.31,0.4,138.6,66.5,0.23,0.1,115.0
27,40,3,350,0,2.8,1.1,94.8,59.3,1.33,1.4,139.4
23,40,4,350,2,3.17,0.47,111.2,65.7,0.4,2.7,108.0
32,40,2,350,1,2.92,0.88,114.6,68.3,0.26,1.6,186.3
37,40,3,350,1,2.77,0.49,92.6,64.4,0.46,0.1,108.6
40,40,2,350,0,0.58,0.25,176.8,56.5,0.27,9.8,151.0
26,40,5,350,0,1.42,0.3,101.4,67.5,0.42,0.7,221.4
22,40,4,350,2,3.48,1.27,112.6,65.6,0.3,1.3,125.4
42,40,2,350,2,1.11,0.64,212.7,63.6,1.63,0.0,109.8
31,40,3,350,1,0.98,0.58,116.3,57.1,0.14,2.1,151.2
27,40,2,350,0,2.93,1.15,85.4,60.6,0.48,0.4,134.9
28,40,6,350,2,1.2,0.31,141.8,65.0,0.45,0.3,123.9
35,40,4,350,1,2.2,1.34,126.3,59.7,0.19,0.1,197.0
36,40,4,350,1,1.07,1.04,116.1,69.9,0.34,9.7,204.1
38,40,4,350,0,1.26,1.18,193.8,67.1,0.14,1.9,107.0
34,40,5,350,0,1.78,0.31,165.1,62.2,0.19,0.8,152.0
22,40,1,350,2,0.78,0.45,98.3,58.9,0.36,1.9,93.5
42,40,5,350,2,2.36,0.86,146.4,76.6,0.21,2.6,119.2
26,40,2,350,0,2.6,0.35,81.4,58.1,0.37,1.7,120.9
39,40,1,350,0,1.46,0.84,106.9,65.4,0.28,2.5,112.0
43,40,1,350,1,3.2,1.14,109.4,77.1,0.16,0.1,127.2
22,40,3,350,2,1.39,0.88,99.0,70.5,0.17,0.0,136.6
41,40,2,350,0,2.92,0.59,124.5,61.1,0.21,0.4,88.1
39,40,0,350,2,0.93,1.36,134.1,67.4,0.37,0.9,120.8
20,40,1,350,0,0.87,0.4,83.5,51.0,0.35,2.0,72.6
31,40,2,350,1,3.23,1.3,112.1,67.5,0.26,0.7,250.0
24,40,4,350,0,2.16,0.98,60.3,58.2,0.14,1.5,108.6
25,40,1,350,1,0.79,0.4,250.0,57.8,0.48,2.0,201.2
27,40,1,350,1,1.47,0.6,101.3,68.4,0.36,2.2,135.9
25,40,1,350,1,2.98,0.94,187.0,62.8,0.31,0.2,115.4
20,40,1,350,2,1.74,1.3,122.8,59.1,0.27,3.0,221.2
31,40,3,350,2,1.54,0.6,110.0,66.7,0.46,0.0,59.2
31,40,6,350,1,0.66,1.42,206.6,62.7,0.31,1.8,97.4
22,40,2,350,1,3.49,0.47,52.3,66.0,0.22,2.6,124.3
20,40,6,350,1,0.59,1.16,86.4,63.4,0.43,0.4,117.8
34,40,6,350,0,1.11,0.79,111.9,57.3,0.43,2.1,143.2
40,40,0,350,0,2.15,1.1,110.0,67.6,0.23,2.8,93.6
29,40,2,350,2,2.79,1.45,129.4,69.4,0.15,0.7,81.3
23,40,4,350,1,1.8,0.54,80.4,55.6,2.69,0.4,143.0
31,40,4,350,0,1.73,1.45,76.6,60.9,0.36,1.2,165.0
34,40,1,350,0,2.01,0.82,101.3,67.8,0.26,0.0,88.2
41,40,0,350,2,3.27,0.27,155.4,70.2,0.38,7.8,133.8
21,40,2,350,0,1.44,0.46,84.3,53.6,0.21,2.6,74.6
34,40,6,350,0,0.92,1.29,100.8,62.3,0.3,7.6,165.1
20,40,0,350,1,1.9,0.43,62.4,63.6,0.23,7.5,149.1
34,40,5,350,1,3.23,1.44,134.0,66.1,0.32,0.4,114.9
36,40,5,350,1,0.88,0.76,119.4,59.1,0.37,0.9,127.0
21,40,6,350,1,1.1,0.35,108.7,72.6,0.43,7.3,158.0
42,40,1,350,0,3.19,0.43,118.3,54.9,0.23,2.6,131.5
36,40,5,350,1,2.5,1.3,126.0,64.8,0.28,1.7,214.3
44,40,0,350,1,1.98,1.01,119.0,67.8,0.35,1.0,87.4
40,40,6,350,0,3.26,0.63,204.2,69.1,0.15,2.9,94.7
21,40,4,350,0,3.07,0.45,78.7,55.7,0.39,1.2,84.6
20,40,0,350,1,1.34,0.76,82.3,62.7,0.5,9.9,250.0
25,40,5,350,0,2.77,0.72,74.6,60.0,0.27,0.2,185.2
42,40,1,350,2,2.98,1.25,237.4,70.1,0.16,0.2,164.7
20,40,6,350,2,1.36,0.39,180.4,65.3,0.34,9.8,220.3
22,40,4,350,0,2.26,1.18,161.6,64.0,1.53,0.2,145.4
35,40,0,350,0,3.32,0.54,180.9,63.9,2.05,1.9,172.7
35,40,5,350,2,2.63,0.64,121.7,70.0,0.11,1.1,99.4
45,40,2,350,1,2.06,0.29,135.3,72.1,0.15,2.3,96.8
27,40,6,350,1,1.95,0.93,93.9,61.7,0.41,0.8,155.6
32,40,3,350,0,2.27,0.54,86.5,59.3,0.21,0.6,95.4
43,40,3,350,1,1.2,0.92,146.6,68.4,0.13,2.3,250.0
22,40,4,350,2,3.01,0.62,90.2,60.7,0.31,1.9,114.6
41,40,1,350,1,2.03,1.06,250.0,67.2,0.23,0.1,113.3
35,40,0,350,1,0.67,0.27,103.3,63.1,0.32,1.2,137.1
25,40,6,350,1,0.94,1.39,109.5,55.5,0.44,8.1,164.8
39,40,2,350,0,2.98,1.12,128.1,60.8,0.47,2.8,154.4
33,40,3,350,2,3.38,0.98,129.8,66.5,0.31,2.8,153.6
23,40,1,350,0,0.71,0.67,137.5,57.7,0.19,2.3,117.1
44,40,1,350,2,3.45,1.27,139.1,82.2,2.23,2.5,187.8
27,40,3,350,1,2.37,1.35,106.2,65.9,0.31,2.2,110.2
42,40,4,350,2,3.49,1.2,145.6,65.9,0.17,2.6,94.0
27,40,4,350,1,1.81,1.2,97.8,62.8,0.27,1.3,85.7
28,40,4,350,1,2.72,0.54,82.4,59.9,0.45,0.9,145.3
29,40,2,350,2,1.32,0.4,77.1,63.1,0.23,0.8,105.4
42,40,2,350,1,0.8,0.54,135.4,66.9,0.4,0.1,210.2
42,40,3,350,0,1.33,0.29,99.1,75.6,0.18,0.9,163.5
38,40,3,350,1,1.21,0.94,203.8,67.7,0.31,2.9,172.7
24,40,4,350,0,2.14,0.28,157.7,48.4,0.22,2.6,80.6
24,40,1,350,0,2.61,0.3,157.9,59.2,0.32,3.0,124.0
27,40,4,350,1,2.13,0.36,68.2,60.0,0.14,1.2,110.5
34,40,3,350,2,1.44,1.43,108.7,72.7,0.17,2.5,79.1
30,40,3,350,0,2.57,1.46,104.2,55.2,1.51,2.1,232.6
22,40,3,350,0,2.77,1.09,67.8,51.5,0.34,1.3,113.2
42,40,2,350,0,1.6,0.28,202.6,67.0,0.42,1.1,124.4
36,40,1,350,1,1.11,0.67,103.6,61.9,0.33,0.1,130.7
44,40,1,350,0,2.61,1.07,114.3,69.1,0.33,0.4,119.2
33,40,2,350,2,1.45,1.35,125.4,67.9,0.27,2.9,118.6
45,40,1,350,0,1.56,0.72,112.8,61.1,0.2,7.0,174.5
40,40,6,350,0,2.86,0.87,104.4,62.2,0.11,0.8,90.0
43,40,6,350,2,1.25,0.57,147.0,71.4,0.29,1.3,120.9
28,40,1,350,1,2.26,0.33,85.5,61.4,0.31,1.3,218.8
38,40,0,350,1,0.97,1.31,112.0,72.7,0.21,2.4,122.6
40,40,3,350,2,3.25,0.37,209.6,59.1,0.24,2.6,162.3
23,40,4,350,2,3.36,0.78,111.0,66.3,0.23,0.3,250.0
32,40,4,350,2,1.54,1.36,149.6,65.1,0.14,0.9,250.0
36,40,1,350,1,1.82,1.12,250.0,67.6,0.25,1.8,71.4
20,40,2,350,2,2.63,0.97,250.0,62.8,0.38,9.1,152.4
31,40,1,350,0,1.44,0.39,61.4,66.6,0.1,1.7,250.0
41,40,5,350,1,2.24,0.81,114.9,70.4,0.11,0.5,127.3
39,40,3,350,2,0.66,0.41,250.0,57.4,0.41,1.6,137.2
38,40,2,350,2,2.29,0.59,123.9,64.4,0.27,2.5,123.1
39,40,1,350,1,1.63,0.47,125.5,70.8,0.3,2.6,117.1
38,40,1,350,0,1.24,0.75,110.3,73.6,0.16,0.1,216.4
39,40,2,350,2,2.93,0.26,103.5,72.1,0.46,9.8,250.0
41,40,3,350,1,2.48,0.9,213.6,61.3,0.22,1.9,145.4
39,40,6,350,0,2.21,0.78,235.8,66.5,0.19,9.8,174.8
44,40,1,350,0,1.63,1.09,135.4,70.1,0.14,8.5,124.2
44,40,2,350,2,1.67,0.8,137.7,66.4,0.49,0.9,234.1
24,40,3,350,2,3.0,1.4,92.4,69.4,0.43,0.9,201.7
33,40,5,350,2,2.09,1.31,223.6,61.1,0.12,2.2,119.1
39,40,4,350,0,2.28,1.34,192.1,63.9,2.17,0.8,167.8
34,40,4,350,1,3.35,0.96,109.6,62.6,0.45,2.4,163.0
38,40,2,350,1,1.43,1.22,132.4,66.1,0.47,1.3,103.1
35,40,6,350,2,3.08,0.97,147.9,70.7,0.19,2.4,150.4
27,40,1,350,2,1.19,0.79,91.5,70.9,0.22,1.8,197.4
32,40,5,350,2,1.42,0.45,139.2,66.8,0.39,9.9,176.4
24,40,2,350,1,2.83,0.6,187.8,57.9,0.36,1.3,142.5
43,40,3,350,1,1.47,0.31,135.9,71.7,0.3,9.9,155.0
39,40,3,350,2,1.74,1.47,132.5,62.0,0.37,0.6,129.6
32,40,0,350,0,2.11,1.13,115.8,61.9,0.36,0.9,109.4
39,40,2,350,1,0.56,0.52,122.0,66.5,0.27,0.0,136.6
34,40,6,350,1,1.54,0.89,100.8,67.2,0.14,1.3,125.4
35,40,4,350,2,2.62,0.86,132.6,70.0,0.13,0.1,113.1
41,40,3,350,1,2.57,0.44,118.7,70.1,0.18,2.2,101.7
30,40,6,350,1,2.89,0.56,110.8,68.5,0.4,0.4,235.8
32,40,2,350,1,3.34,0.3,91.3,66.7,0.15,2.6,152.0
39,40,6,350,2,2.31,1.41,228.4,69.3,0.31,2.2,120.6
38,40,0,350,2,2.68,1.24,140.7,78.3,0.43,0.2,92.0
30,40,3,350,0,0.67,1.0,108.3,65.7,0.1,1.2,121.7
21,40,1,350,1,2.18,1.27,84.8,62.4,0.23,1.4,189.4
42,40,6,350,0,1.93,0.36,116.0,71.4,0.5,0.9,92.6
20,40,0,350,2,2.26,0.9,181.1,67.9,0.15,2.1,88.3
30,40,0,350,0,1.15,0.3,81.9,59.3,0.26,0.4,108.8
22,40,3,350,2,2.68,0.79,78.7,60.9,0.28,2.4,152.8
24,40,1,350,2,1.48,0.29,103.5,70.4,0.1,1.0,112.2
27,40,3,350,0,1.04,0.56,140.2,58.5,0.14,2.9,91.4
40,40,5,350,0,2.09,1.0,107.2,61.3,0.45,8.4,127.2
26,40,4,350,0,2.2,1.33,79.2,64.3,0.43,7.2,115.8
23,40,4,350,2,1.67,0.27,91.0,64.3,0.14,0.4,196.4
26,40,6,350,0,3.14,1.22,84.1,65.4,0.33,2.2,135.6
44,40,0,350,0,3.48,0.33,192.9,68.6,0.21,2.6,120.6
32,40,4,350,2,0.77,0.66,123.0,72.3,2.37,8.8,201.2
34,40,5,350,0,2.02,0.97,108.4,63.1,0.44,2.9,103.0
38,40,5,350,2,3.15,0.35,134.8,66.8,0.29,0.9,69.3
24,40,1,350,1,1.63,0.44,86.3,67.0,0.24,1.0,104.7
22,40,5,350,0,1.7,1.25,61.8,56.5,2.42,2.5,250.0
33,40,1,350,0,1.98,1.19,97.6,75.0,0.21,2.5,132.4
40,40,5,350,2,3.01,1.19,231.3,65.2,0.19,1.7,161.6
24,40,3,350,2,2.07,1.11,120.5,68.7,2.12,2.8,158.5
42,40,2,350,2,1.6,0.38,152.8,67.7,0.2,0.9,111.6
33,40,2,350,1,0.61,1.3,116.9,63.4,0.26,1.7,62.0
36,40,4,350,0,2.26,0.52,105.4,77.7,0.33,1.6,94.6
22,40,1,350,0,2.62,0.55,52.1,62.1,0.15,2.8,186.6
37,40,2,350,0,2.69,0.3,84.1,60.9,0.21,1.8,108.0
36,40,1,350,0,0.52,0.27,174.6,58.3,2.07,0.3,128.2
22,40,4,350,2,0.98,0.26,98.6,57.0,0.41,1.5,90.4
35,40,0,350,0,1.32,0.78,96.1,68.2,1.6,0.5,93.2
28,40,6,350,0,0.61,1.41,79.0,70.9,0.41,1.8,144.2
27,40,6,350,0,1.27,0.34,67.5,69.9,2.17,0.9,178.3
26,40,5,350,2,0.94,1.12,131.7,74.4,0.37,2.5,131.6
35,40,5,350,1,3.25,1.25,142.6,70.5,0.34,8.3,240.2
33,40,3,350,2,1.66,1.02,117.3,64.1,0.22,0.4,98.8
40,40,1,350,1,2.61,0.25,206.0,67.9,0.37,2.7,132.3
36,40,1,350,0,2.74,1.47,94.1,64.0,0.49,0.4,129.4
39,40,5,350,0,2.27,1.34,117.3,64.8,0.39,9.5,145.8
42,40,2,350,0,1.62,0.52,120.6,76.1,0.33,0.1,135.4
28,40,0,350,2,0.66,1.27,106.7,77.1,0.34,1.1,160.2
38,40,5,350,2,2.26,0.25,130.1,74.9,0.37,1.5,250.0
45,40,0,350,1,2.13,0.32,151.3,70.3,2.87,0.5,224.9
34,40,5,350,2,1.04,0.62,250.0,72.0,0.37,0.2,141.2
33,40,3,350,0,2.55,1.07,180.1,60.0,0.37,0.6,117.7
42,40,4,350,0,2.37,0.89,134.9,69.8,0.22,2.4,114.5
35,40,2,350,1,2.3,0.49,110.1,68.6,0.49,2.7,227.3
22,40,1,350,2,0.87,1.03,102.8,66.6,0.18,2.3,121.4
31,40,6,350,2,1.6,0.32,210.5,66.0,0.33,8.5,176.8
29,40,4,350,1,2.45,1.4,110.7,68.1,0.5,1.5,129.0
44,40,0,350,2,1.81,0.62,142.1,72.7,0.45,2.2,118.4
30,40,5,350,2,0.85,1.17,116.2,64.6,0.42,3.0,142.8
35,40,3,350,2,2.91,0.35,104.0,72.5,0.47,2.0,117.8
44,40,3,350,0,1.31,1.32,126.0,56.3,0.5,1.7,148.0
21,40,4,350,2,3.0,1.18,103.8,56.2,0.15,2.4,169.8
41,40,4,350,0,2.61,1.49,134.5,60.5,0.32,2.1,148.0
25,40,3,350,0,1.67,0.37,159.1,59.8,0.45,0.9,124.2
39,40,5,350,2,2.11,1.17,135.8,61.9,1.52,0.5,153.4
28,40,3,350,2,1.73,0.94,114.3,67.7,0.12,1.8,107.2
41,40,0,350,2,2.54,1.04,128.8,60.6,0.39,2.5,72.4
26,40,1,350,2,1.92,0.7,99.1,63.2,0.11,2.6,112.2
23,40,6,350,0,0.77,0.86,57.8,64.3,0.5,1.0,148.9
27,40,5,350,1,2.46,0.59,101.5,64.9,0.43,2.3,133.7
